Id,X,Y
V1_1,10.747900,2.293020
V1_10,11.176600,5.297530
V1_11,14.063600,5.312350
V1_12,17.173201,5.217130
V1_13,20.171700,5.121330
V1_14,23.169100,5.247920
V1_15,26.167101,5.263320
V1_16,29.054100,5.278140
V1_17,2.278330,8.254130
V1_18,6.164600,8.274090
V1_19,10.162500,8.183420
V1_2,13.634900,2.307850
V1_20,14.159800,8.203950
V1_21,18.712299,8.227330
V1_22,23.153700,8.250140
V1_23,27.151600,8.159480
V1_24,29.594400,8.172020
V1_25,2.268050,10.255600
V1_26,6.255650,12.166400
V1_27,10.141900,12.186400
V1_28,14.250300,12.207500
V1_29,18.691700,12.230300
V1_3,16.633400,2.212050
V1_30,23.244200,12.253700
V1_31,27.133301,11.717700
V1_32,29.689400,11.286000
V1_33,31.693199,10.295500
V1_34,10.242100,14.299600
V1_35,2.141600,13.257300
V1_36,5.689620,14.276300
V1_37,25.676701,14.267700
V1_38,14.683600,14.322400
V1_39,19.569201,14.347500
V1_4,19.631399,2.227450
V1_40,22.678699,14.252300
V1_41,29.674601,14.177000
V1_42,5.196110,2.264510
V1_43,8.194090,2.279910
V1_5,26.182501,2.261090
V1_6,29.180500,2.276490
V1_7,2.293750,5.251910
V1_8,5.180690,5.266730
V1_9,8.178670,5.282130
