BLE,BLE_MAC,X,Y
R1821,F1EDAF28E08A,4.344644,4.997056
R1823,EC72840D9AD3,16.787041,4.084925
R1824,C400A2E19293,11.127154,12.621532
R1825,E13B805C6CB0,23.733266,12.621532
R1826,D2B6503554D7,17.488680,12.598144
R1827,E96AF2C858BA,29.790748,12.177161
R1828,F69A86823B96,23.686490,4.903504
R1829,FB2EE01C18CE,33.392495,16.199890
R1830,DF231643E227,23.967145,10.142408
R1831,E6D9D20DD197,30.188344,6.657601
R1832,FDAE5980F28C,9.677100,10.235960
R1833,E43355CA8B96,6.706829,6.727765
R1834,F1307ECB3B90,15.149883,6.704377
R1835,DD697EA75B68,15.313599,10.212572
R1836,CD4533FFC0E1,19.733924,6.844705
R1837,E8FD0B453DC4,7.151200,13.253007
R1840,DB8B36A69C56,10.215023,4.108313
